,clust,Referred a Friend,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Internet Service,Internet Type,Avg Monthly GB Download,Device Protection Plan,Unlimited Data,Monthly Charge,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
107,1,0,0,1,42.3,1,2,16,0,1,79.1,79.1,0,42.3,121.39999999999999
108,1,0,0,1,39.78,1,0,12,1,1,50.15,50.15,0,39.78,89.93
109,1,0,0,1,34.51,1,2,15,0,1,69.6,69.6,0,34.51,104.10999999999999
110,2,0,0,41,27.95,1,2,23,1,1,113.2,4689.5,0,1145.95,5835.45
111,1,0,0,13,26.11,1,2,4,0,0,90.5,1201.15,140,339.43,1650.7400000000002
112,1,1,1,32,5.99,1,2,23,0,1,85.0,2642.05,0,191.68,2784.16
113,2,1,1,32,49.6,1,2,10,0,1,85.3,2661.1,0,1587.2,4248.3
114,1,1,1,57,0.0,1,0,3,0,1,44.85,2572.95,0,0.0,2560.8799999999997
115,1,0,0,1,15.28,1,0,14,0,1,45.1,45.1,0,15.28,60.38
116,1,0,0,1,0.0,1,1,26,1,1,43.3,43.3,0,0.0,43.3
117,1,0,0,38,26.1,1,1,27,0,1,57.15,2250.65,0,991.8000000000001,3242.4500000000003
118,2,1,1,35,15.98,1,0,22,0,1,100.5,3653.35,0,559.3000000000001,4212.65
119,1,0,0,1,15.24,1,1,14,0,1,45.1,45.1,0,15.24,60.34
120,1,1,1,30,4.65,1,1,29,0,1,50.4,1527.5,0,139.5,1667.0
121,1,0,0,5,12.27,1,2,20,0,1,78.95,378.4,0,61.349999999999994,439.75
122,1,0,0,1,30.17,1,2,6,0,1,93.55,93.55,0,30.17,123.72
123,2,1,1,58,49.38,1,2,19,1,1,108.85,6287.25,0,2864.04,9151.29
124,1,0,0,16,17.51,1,2,7,0,1,84.75,1350.15,0,280.16,1630.3100000000002
125,1,0,0,1,22.5,1,2,27,0,0,69.95,69.95,10,22.5,102.45
126,1,1,1,5,47.28,1,2,11,0,0,81.0,371.65,10,236.4,577.41
127,1,0,0,21,42.27,1,2,7,1,1,96.8,2030.3,0,887.6700000000001,2907.77
128,1,0,0,43,31.83,1,2,10,0,1,108.15,4600.7,0,1368.6899999999998,5969.389999999999
129,2,1,1,32,33.74,1,2,6,0,1,93.2,2931.0,0,1079.68,3992.8
130,1,0,0,1,18.2,1,2,13,0,1,70.55,70.55,0,18.2,88.75
131,2,1,1,29,25.78,1,2,28,1,0,98.5,3004.15,40,747.62,3754.22
132,1,1,1,13,31.7,1,0,6,0,1,95.25,1233.65,0,412.09999999999997,1597.66
133,1,1,1,7,8.92,1,2,17,0,1,74.4,527.9,0,62.44,557.88
134,1,0,0,2,21.57,1,2,28,1,1,88.55,179.25,0,43.14,222.39
135,1,0,0,1,43.61,1,2,2,0,1,91.3,91.3,0,43.61,134.91
136,1,1,1,7,16.05,1,2,22,0,1,70.1,467.55,0,112.35000000000001,559.67
137,2,1,1,57,49.91,1,2,21,1,1,95.25,5427.05,0,2844.87,8259.33
138,2,1,4,1,17.35,1,2,23,1,1,100.8,100.8,0,17.35,118.15
139,1,1,2,17,1.05,1,2,8,0,1,76.45,1233.4,0,17.85,1251.25
140,1,0,0,3,18.38,1,2,20,1,1,86.85,220.95,0,55.14,276.09
141,2,1,1,66,28.86,1,2,25,1,1,99.5,6822.15,0,1904.76,8726.91
142,2,1,1,69,48.88,1,2,4,1,1,108.4,7318.2,0,3372.7200000000003,10690.92
143,2,1,2,15,44.13,1,2,3,1,0,83.05,1258.3,110,661.95,2030.25
144,2,0,0,56,34.58,1,2,4,1,1,104.75,5510.65,0,1936.48,7447.129999999999
145,1,0,0,21,21.15,1,2,9,0,1,94.25,1973.75,0,444.15,2417.9
146,1,0,0,1,47.97,1,2,8,0,1,70.15,70.15,0,47.97,118.12
147,2,1,3,32,7.92,1,2,3,1,1,106.35,3520.75,0,253.44,3774.19
148,2,1,1,40,49.5,1,2,20,0,1,94.55,3640.45,0,1980.0,5620.45
149,1,0,0,2,0.0,1,1,6,0,1,24.45,47.5,0,0.0,47.5
150,1,0,0,7,39.51,1,2,13,0,0,84.8,546.95,0,276.57,823.52
151,1,0,0,31,39.36,1,2,4,0,1,99.95,3186.65,0,1220.16,4406.81
152,1,0,0,14,29.96,1,2,7,1,1,104.85,1531.4,0,419.44,1950.8400000000001
153,1,0,0,15,23.53,1,2,9,0,1,74.2,1133.9,0,352.95000000000005,1443.5400000000002
154,1,0,0,59,10.78,1,2,15,0,1,93.85,5574.75,0,636.02,6202.639999999999
155,2,1,3,46,49.11,1,2,17,1,1,100.7,4541.2,0,2259.06,6753.619999999999
156,1,0,0,25,36.36,1,2,6,0,1,89.7,2187.55,0,909.0,3073.2200000000003
157,1,0,0,16,32.11,1,2,14,0,1,96.4,1581.2,0,513.76,2047.76
158,1,0,0,1,41.2,1,2,15,0,0,69.5,69.5,80,41.2,190.7
159,2,1,1,36,24.54,1,2,5,0,1,85.25,3132.75,0,883.4399999999999,4016.19
160,1,0,0,45,10.67,1,1,17,1,1,62.7,2791.5,0,480.15,3271.65
161,2,0,0,25,46.34,1,2,22,1,1,105.95,2655.25,0,1158.5,3813.75
162,1,0,0,39,41.93,1,2,23,0,0,95.65,3759.05,150,1635.27,5544.32
163,2,1,1,31,47.95,1,2,21,1,1,98.9,2911.3,0,1486.45,4397.75
164,1,0,0,3,30.25,1,2,28,0,1,76.05,231.8,0,90.75,322.55
165,1,0,0,1,33.84,1,2,5,0,1,69.75,69.75,0,33.84,103.59
166,2,0,0,33,17.24,1,2,25,1,0,110.45,3655.45,70,568.92,4294.37
167,2,1,1,7,42.92,1,2,2,1,1,99.25,665.45,0,300.44,965.8900000000001
168,1,0,0,19,16.78,1,2,15,1,1,79.85,1471.75,0,318.82000000000005,1790.5700000000002
169,1,1,2,8,26.99,1,2,2,0,1,80.45,583.45,0,215.92,799.37
170,1,0,0,13,7.22,1,2,28,0,1,100.8,1308.1,0,93.86,1401.9599999999998
171,1,0,0,10,7.51,1,2,18,0,1,79.25,793.55,0,75.1,868.65
172,1,0,0,5,45.72,1,2,6,0,1,89.5,477.7,0,228.6,706.3
173,1,0,0,1,38.78,1,2,23,0,1,86.05,86.05,0,38.78,124.83
174,1,0,0,10,0.0,1,1,4,0,1,34.7,329.8,0,0.0,329.8
175,2,1,1,53,21.67,1,0,6,0,0,60.05,3229.65,100,1148.51,4478.16
176,1,1,1,16,26.12,1,2,8,0,1,74.3,1178.25,0,417.92,1596.17
177,1,0,0,9,17.56,1,2,27,0,1,74.55,622.9,0,158.04,747.6899999999999
178,2,1,1,32,43.51,1,2,22,1,1,104.9,3351.55,0,1392.32,4710.14
179,1,1,1,1,17.36,1,2,29,0,0,74.4,74.4,30,17.36,121.76
180,1,0,0,8,14.89,1,2,20,0,1,69.7,560.85,0,119.12,679.97
181,2,1,1,12,30.63,1,2,27,1,1,98.1,1060.2,0,367.56,1378.7
182,1,1,1,4,18.91,1,2,20,0,1,99.6,347.65,0,75.64,397.49999999999994
183,2,1,1,70,17.45,1,2,20,1,1,102.95,7101.5,0,1221.5,8307.76
184,1,0,0,1,28.64,1,2,5,0,1,71.0,71.0,0,28.64,99.64
185,2,1,1,47,26.95,1,2,26,0,1,70.55,3309.25,0,1266.6499999999999,4548.91
186,1,1,1,1,37.3,1,2,8,0,1,69.25,69.25,0,37.3,106.55
187,1,0,0,12,28.63,1,0,7,1,0,83.8,1029.75,80,343.56,1408.73
188,1,0,0,53,0.0,1,1,25,1,1,54.45,2854.55,0,0.0,2834.3900000000003
189,2,0,0,41,22.56,1,2,15,1,1,99.8,4259.3,0,924.9599999999999,5175.38
190,1,0,0,5,2.27,1,2,17,0,1,70.25,331.9,0,11.35,330.77
191,2,1,1,69,16.34,1,2,4,0,0,89.95,6143.15,110,1127.46,7373.82
192,1,0,0,14,16.32,1,2,11,0,1,74.95,1036.75,0,228.48000000000002,1225.94
193,1,0,0,32,33.22,1,2,9,0,1,74.4,2276.95,0,1063.04,3295.68
194,2,1,1,50,4.6,1,0,24,0,1,71.05,3444.85,0,229.99999999999997,3674.85
195,1,0,0,2,0.0,1,1,13,1,1,30.4,78.65,0,0.0,78.65
196,1,0,0,23,17.62,1,2,29,1,1,106.4,2483.5,0,405.26000000000005,2888.76
197,1,0,0,2,5.49,1,2,25,0,1,85.55,187.45,0,10.98,198.42999999999998
198,2,1,1,30,6.23,1,2,4,1,1,79.65,2365.15,0,186.9,2552.05
199,0,0,0,1,22.92,0,3,0,0,0,19.45,19.45,0,22.92,42.370000000000005
200,1,0,0,32,48.95,1,2,9,0,1,85.95,2628.6,0,1566.4,4195.0
201,1,0,0,16,36.83,1,1,16,0,1,59.4,1023.9,0,589.28,1613.1799999999998
202,1,0,0,38,47.39,1,2,2,0,1,99.55,3734.25,0,1800.82,5535.07
203,1,0,0,2,12.96,1,2,20,1,1,95.1,180.25,0,25.92,206.17000000000002
204,1,1,1,17,9.5,1,2,16,0,1,81.5,1329.2,0,161.5,1490.7
205,1,1,1,3,0.0,1,1,20,0,1,36.45,93.7,0,0.0,93.7
206,1,0,0,1,0.0,1,1,21,0,1,25.05,25.05,0,0.0,25.05
207,2,1,1,43,0.0,1,1,21,1,1,55.55,2342.2,0,0.0,2342.2
208,1,1,2,10,46.5,1,0,4,0,1,86.65,856.65,0,465.0,1321.65
209,1,0,0,37,41.85,1,2,2,0,1,106.75,4056.75,0,1548.45,5605.2
210,1,1,1,12,48.5,1,2,4,0,1,101.35,1218.55,0,582.0,1800.55
211,1,0,0,35,35.1,1,2,29,0,0,95.45,3474.05,80,1228.5,4782.55
212,1,0,0,1,45.8,1,2,10,0,1,69.6,69.6,0,45.8,115.39999999999999
213,1,0,0,1,18.37,1,2,13,0,1,78.45,78.45,0,18.37,96.82000000000001
214,1,0,0,9,12.91,1,2,21,0,1,84.45,762.5,0,116.19,878.69
215,1,0,0,38,5.75,1,0,30,1,1,70.15,2497.35,0,218.5,2715.85
216,2,0,0,51,19.49,1,2,11,1,1,97.8,4913.3,0,993.9899999999999,5907.29
217,1,0,0,5,41.83,1,2,25,0,1,83.15,446.05,0,209.14999999999998,655.2
218,1,0,0,2,23.46,1,2,25,0,1,75.45,158.4,0,46.92,205.32
219,1,0,0,2,25.74,1,1,6,0,1,54.85,104.2,0,51.48,155.68
220,1,1,1,1,4.89,1,2,11,0,1,95.1,95.1,0,4.89,99.99
221,2,1,1,53,7.94,1,2,6,0,1,101.9,5549.4,0,420.82,5970.219999999999
222,2,1,1,51,22.14,1,2,30,1,1,93.8,4750.95,0,1129.14,5880.09
223,2,0,0,72,6.03,1,2,2,1,1,104.15,7689.95,0,434.16,8124.11
224,1,0,0,5,4.59,1,2,11,0,1,91.4,449.75,0,22.95,472.7
225,1,0,0,1,28.49,1,2,18,0,1,75.35,75.35,0,28.49,103.83999999999999
226,1,0,0,11,4.1,1,2,5,0,1,84.8,906.85,0,45.099999999999994,951.95
227,2,1,1,50,31.56,1,2,4,1,0,95.05,4888.7,50,1578.0,6516.7
228,1,0,0,5,18.69,1,1,28,1,1,50.35,237.25,0,93.45,330.7
229,1,0,0,5,36.36,1,2,12,0,1,89.8,502.6,0,181.8,684.4000000000001
230,1,0,0,9,10.66,1,2,15,0,1,99.45,919.4,0,95.94,1015.3399999999999
231,1,0,0,2,9.55,1,2,28,0,1,70.2,115.95,0,19.1,135.05
232,2,1,2,51,43.58,1,0,22,1,1,84.2,4146.05,0,2222.58,6368.63
233,1,0,0,26,1.26,1,2,18,1,0,105.75,2710.25,90,32.76,2833.01
234,2,1,1,18,0.0,1,1,12,1,1,48.35,810.7,0,0.0,810.7
235,1,1,1,1,24.24,1,0,9,0,1,49.55,49.55,0,24.24,73.78999999999999
236,1,1,1,2,6.86,1,1,20,0,1,50.15,115.1,0,13.72,128.82
237,2,1,1,29,35.38,1,2,21,1,0,95.9,2745.2,50,1026.02,3821.22
238,1,0,0,1,0.0,1,1,15,0,1,25.25,25.25,0,0.0,25.25
239,2,1,1,46,5.36,1,2,22,1,1,101.0,4680.05,0,246.56,4926.610000000001
240,1,0,0,1,24.75,1,2,22,0,0,71.15,71.15,20,24.75,115.9
241,1,0,0,20,11.82,1,2,5,0,1,79.15,1520.9,0,236.4,1757.3000000000002
242,2,1,1,46,48.62,1,2,3,0,0,80.4,3605.2,20,2236.52,5861.719999999999
243,1,0,0,2,25.19,1,2,14,0,1,93.85,196.75,0,50.38,247.13
244,1,0,0,1,26.22,1,0,22,1,1,55.8,55.8,0,26.22,82.02
245,2,0,0,41,42.06,1,2,21,1,1,98.4,4187.75,0,1724.46,5912.21
246,2,1,1,66,30.03,1,1,15,1,0,79.4,5154.6,150,1981.98,7286.58
247,2,0,0,35,39.69,1,2,25,1,1,101.4,3496.3,0,1389.1499999999999,4885.45
248,1,0,0,10,16.88,1,2,24,1,1,89.8,914.3,0,168.79999999999998,1083.1
249,1,0,0,26,34.69,1,2,27,0,1,91.25,2351.8,0,901.9399999999999,3253.7400000000002
250,1,0,0,18,2.36,1,2,21,0,1,85.45,1505.85,0,42.48,1548.33
251,1,0,0,1,28.46,1,2,12,0,1,71.65,71.65,0,28.46,100.11000000000001
252,1,0,0,1,48.95,1,2,23,0,1,74.2,74.2,0,48.95,123.15
253,2,1,8,43,31.25,1,2,20,0,0,101.0,4388.4,150,1343.75,5882.15
254,1,1,3,25,33.63,1,2,25,0,1,89.05,2177.45,0,840.7500000000001,3018.2
255,2,1,1,36,16.61,1,2,3,0,1,96.5,3436.1,0,597.96,4034.06
256,1,1,1,1,49.6,1,2,13,0,1,70.85,70.85,0,49.6,120.44999999999999
257,2,1,1,41,45.04,1,0,29,1,1,111.95,4534.9,0,1846.6399999999999,6381.539999999999
258,1,0,0,1,16.19,1,2,12,0,1,69.1,69.1,0,16.19,85.28999999999999
259,1,0,0,2,43.96,1,2,14,1,1,78.55,149.55,0,87.92,237.47000000000003
260,1,0,0,49,32.36,1,2,2,0,1,96.2,4718.25,0,1585.6399999999999,6303.889999999999
261,1,0,0,6,8.91,1,2,27,1,0,74.4,434.1,20,53.46,507.56
262,1,1,1,7,21.43,1,2,12,0,1,84.55,646.85,0,150.01,796.86
263,1,0,0,20,29.29,1,2,15,0,1,85.8,1727.5,0,585.8,2313.3
264,1,0,0,54,33.49,1,2,8,0,1,101.5,5373.1,0,1808.46,7181.56
265,1,0,0,2,15.32,1,2,21,0,1,69.6,131.65,0,30.64,162.29000000000002
266,1,0,0,30,0.0,1,0,7,1,0,40.3,1172.95,100,0.0,1272.95
267,2,1,1,58,3.18,1,2,5,1,1,98.7,5812.6,0,184.44,5997.04
268,2,1,1,68,21.33,1,0,24,0,1,100.2,6851.65,0,1450.4399999999998,8302.09
269,1,1,1,24,13.38,1,2,12,0,1,93.55,2264.05,0,321.12,2585.17
270,2,1,1,27,39.49,1,2,7,1,1,95.55,2510.2,0,1066.23,3576.43
271,1,0,0,2,0.0,1,1,11,0,1,24.35,41.85,0,0.0,41.85
272,1,0,0,29,20.98,1,2,16,0,1,98.65,2862.75,0,608.42,3471.17
273,2,1,1,5,6.66,1,2,14,1,0,79.9,343.95,20,33.3,397.25
274,1,0,0,28,28.14,1,2,10,1,1,103.3,2890.65,0,787.9200000000001,3678.57
275,1,0,0,24,3.23,1,2,26,1,1,102.95,2496.7,0,77.52,2574.22
276,2,1,7,43,8.75,1,2,13,1,1,109.55,4830.25,0,376.25,5206.5
277,1,0,0,2,5.57,1,0,24,1,1,66.4,94.55,0,11.14,105.69
278,2,1,6,66,49.85,1,2,14,0,1,100.05,6871.9,0,3290.1,10162.0
279,2,1,1,66,27.75,1,2,11,1,1,105.95,6975.25,0,1831.5,8806.75
280,1,0,0,31,15.43,1,2,2,0,1,73.9,2217.15,0,478.33,2695.48
281,1,0,0,37,3.3,1,2,2,0,1,96.55,3580.3,0,122.1,3702.4
282,1,0,0,24,28.98,1,2,30,0,1,101.25,2440.15,0,695.52,3135.67
283,1,0,0,2,43.66,1,1,25,0,1,44.15,92.65,0,87.32,179.97
284,1,0,0,8,13.8,1,2,6,0,1,75.75,606.25,0,110.4,716.65
285,1,1,1,1,17.51,1,2,21,0,1,80.3,80.3,0,17.51,97.81
286,1,0,0,9,43.34,1,2,2,0,1,80.85,751.65,0,390.06000000000006,1141.71
287,2,0,0,49,44.88,1,2,15,1,1,90.85,4515.85,0,2199.1200000000003,6714.970000000001
288,1,0,0,1,0.0,1,0,9,0,1,25.1,25.1,0,0.0,25.1
289,1,0,0,17,30.37,1,2,28,1,1,89.15,1496.9,0,516.29,2013.19
290,1,0,0,3,2.98,1,2,3,0,1,79.9,260.9,0,8.94,269.84
291,1,0,0,30,43.61,1,2,8,0,0,99.7,2967.35,80,1308.3,4355.65
292,2,1,1,41,45.84,1,2,18,1,1,83.75,3273.55,0,1879.44,5152.99
293,1,1,1,42,2.9,1,2,21,0,1,74.15,3229.4,0,121.8,3351.2000000000003
294,2,0,0,72,25.77,1,1,6,1,1,92.45,6440.25,0,1855.44,8295.69
295,2,1,1,11,1.28,1,2,14,1,1,99.55,1131.2,0,14.08,1145.28
296,1,0,0,8,5.02,1,2,26,1,1,81.25,585.95,0,40.16,626.11
297,1,0,0,1,22.56,1,0,2,0,1,50.55,50.55,0,22.56,73.11
298,1,0,0,27,31.17,1,2,25,0,1,85.25,2287.25,0,841.59,3128.84
299,1,0,0,1,16.37,1,2,7,0,1,85.05,85.05,0,16.37,101.42
300,1,0,0,54,45.77,1,2,10,0,1,79.5,4370.25,0,2471.5800000000004,6841.83
301,1,0,0,4,26.23,1,2,29,0,1,74.9,321.75,0,104.92,426.67
302,1,0,0,25,36.5,1,2,30,0,1,102.8,2660.2,0,912.5,3572.7
303,1,0,0,9,10.04,1,2,13,0,1,83.85,790.15,0,90.35999999999999,880.51
304,1,0,0,27,16.94,1,2,11,1,1,88.3,2467.75,0,457.38000000000005,2925.13
305,2,1,1,56,33.81,1,0,29,1,0,100.65,5688.05,130,1893.3600000000001,7711.41
